country,country_code,region,subregion,state,state_code,state_level,city,city_code
United States,USA,Northeast,"Middle Atlantic ",Pennsylvania,PA,state,Harrisburg,
United States,USA,Northeast,New England,Rhode Island,RI,state,Providence,
United States,USA,South,South Atlantic,South Carolina,SC,state,Columbia,
United States,USA,Midwest,West North Central,South Dakota,SD,state,Pierre,
United States,USA,South,East South Central,Tennessee,TN,state,Nashville,
United States,USA,South,West South Central,Texas,TX,state,Austin,
United States,USA,West,Mountain,Utah,UT,state,Salt Lake City,
United States,USA,Northeast,New England,Vermont,VT,state,Montpelier,
United States,USA,South,South Atlantic,Virginia,VA,state,Richmond,
United States,USA,West,Pacific,Washington,WA,state,Olympia,
United States,USA,South,South Atlantic,West Virginia,WV,state,Charleston,
United States,USA,Midwest,East North Central,Wisconsin,WI,state,Madison,
United States,USA,West,Mountain,Wyoming,WY,state,Cheyenne,
United States,USA,,,American Samoa,AS,territory,Pago Pago,
United States,USA,,,Guam,GU,territory,Hagåtña,
United States,USA,,,Northern Mariana Islands,MP,territory,Saipan,
United States,USA,,,Puerto Rico,PR,territory,San Juan,
United States,USA,,,U.S. Virgin Islands,VI,territory,Charlotte Amalie,
United States,USA,South,South Atlantic,"Washington, D.C.",DC,federal district,"Washington, D.C.",
Vietnam,VNM,Northern,Northwest,Điện Biên,,province,,
Vietnam,VNM,Northern,Northwest,Hòa Bình,,province,,
Vietnam,VNM,Northern,Northwest,Lai Châu,,province,,
Vietnam,VNM,Northern,Northwest,Lào Cai,,province,,
Vietnam,VNM,Northern,Northwest,Sơn La,,province,,
Vietnam,VNM,Northern,Northwest,Yên Bái,,province,,
Vietnam,VNM,Northern,Northeast,Bắc Giang,,province,,
Vietnam,VNM,Northern,Northeast,Bắc Kạn,,province,,
Vietnam,VNM,Northern,Northeast,Cao Bằng,,province,,
Vietnam,VNM,Northern,Northeast,Hà Giang,,province,,
Vietnam,VNM,Northern,Northeast,Lạng Sơn,,province,,
Vietnam,VNM,Northern,Northeast,Phú Thọ,,province,,
Vietnam,VNM,Northern,Northeast,Quảng Ninh,,province,,
Vietnam,VNM,Northern,Northeast,Thái Nguyên,,province,,
Vietnam,VNM,Northern,Northeast,Tuyên Quang,,province,,
Vietnam,VNM,Northern,Red River Delta,Bắc Ninh,,province,,
Vietnam,VNM,Northern,Red River Delta,Hà Nam,,province,,
Vietnam,VNM,Northern,Red River Delta,Hà Nội,,municipality,Hà Nội,
Vietnam,VNM,Northern,Red River Delta,Hải Dương,,province,,
Vietnam,VNM,Northern,Red River Delta,Hải Phòng,,municipality,Hải Phòng,
Vietnam,VNM,Northern,Red River Delta,Hưng Yên,,province,,
Vietnam,VNM,Northern,Red River Delta,Nam Định,,province,,
Vietnam,VNM,Northern,Red River Delta,Ninh Bình,,province,,
Vietnam,VNM,Northern,Red River Delta,Thái Bình,,province,,
Vietnam,VNM,Northern,Red River Delta,Vĩnh Phúc,,province,,
Vietnam,VNM,Central,North Central,Hà Tĩnh,,province,,
Vietnam,VNM,Central,North Central,Nghệ An,,province,,
Vietnam,VNM,Central,North Central,Quảng Bình,,province,,
Vietnam,VNM,Central,North Central,Quảng Trị,,province,,
Vietnam,VNM,Central,North Central,Thanh Hóa,,province,,
Vietnam,VNM,Central,North Central,Thừa Thiên–Huế,,province,,
Vietnam,VNM,Central,South Central Coast,Bình Định,,province,,
Vietnam,VNM,Central,South Central Coast,Bình Thuận,,province,,
Vietnam,VNM,Central,South Central Coast,Đà Nẵng,,municipality,Đà Nẵng,
Vietnam,VNM,Central,South Central Coast,Khánh Hòa,,province,,
Vietnam,VNM,Central,South Central Coast,Ninh Thuận,,province,,
Vietnam,VNM,Central,South Central Coast,Phú Yên,,province,,
Vietnam,VNM,Central,South Central Coast,Quảng Nam,,province,,
Vietnam,VNM,Central,South Central Coast,Quảng Ngãi,,province,,
Vietnam,VNM,Central,Central Highlands,Đắc Lắc,,province,,
Vietnam,VNM,Central,Central Highlands,Đắk Nông,,province,,
Vietnam,VNM,Central,Central Highlands,Gia Lai,,province,,
Vietnam,VNM,Central,Central Highlands,Kon Tum,,province,,
Vietnam,VNM,Central,Central Highlands,Lâm Đồng,,province,,
Vietnam,VNM,Southern,Southeast,Bà Rịa–Vũng Tàu,,province,,
Vietnam,VNM,Southern,Southeast,Bình Dương,,province,,
Vietnam,VNM,Southern,Southeast,Bình Phước,,province,,
Vietnam,VNM,Southern,Southeast,Đồng Nai,,province,,
Vietnam,VNM,Southern,Southeast,Hồ Chí Minh,,municipality,,
Vietnam,VNM,Southern,Southeast,Tây Ninh,,province,,
Vietnam,VNM,Southern,Mekong River Delta,An Giang,,province,,
Vietnam,VNM,Southern,Mekong River Delta,Bến Tre,,province,,
Vietnam,VNM,Southern,Mekong River Delta,Bạc Liêu,,province,,
Vietnam,VNM,Southern,Mekong River Delta,Cà Mau,,province,,
Vietnam,VNM,Southern,Mekong River Delta,Cần Thơ,,municipality,Cần Thơ,
Vietnam,VNM,Southern,Mekong River Delta,Đồng Tháp,,province,,
Vietnam,VNM,Southern,Mekong River Delta,Hậu Giang,,province,,
Vietnam,VNM,Southern,Mekong River Delta,Kiên Giang,,province,,
Vietnam,VNM,Southern,Mekong River Delta,Long An,,province,,
Vietnam,VNM,Southern,Mekong River Delta,Sóc Trăng,,province,,
Vietnam,VNM,Southern,Mekong River Delta,Tiền Giang,,province,,
Vietnam,VNM,Southern,Mekong River Delta,Trà Vinh,,province,,
Vietnam,VNM,Southern,Mekong River Delta,Vĩnh Long,,province,,
Argentina,ARG,,,,,,,
Australia,AUS,,,,,,,
Brazil,BRA,,,,,,,
Egypt,EGY,,,,,,,
Finland,FIN,,,,,,,
Germany,DEU,,,,,,,
Japan,JPN,,,,,,,
Mexico,MEX,,,,,,,
Singapore,SGP,,,,,,,
South Africa,ZAF,,,,,,,
South Korea,KOR,,,,,,,
United Kingdom,GBR,,,,,,,
